"tconst","primaryTitle","startYear","runtimeMinutes","genres","directors","writers","averageRating","numVotes"
"tt12002786","Monster SeaFood Wars",2020,"84","Comedy,Fantasy,Sci-Fi","nm0442896","nm0442896, nm1257925, nm0875212",5.5,58
"tt12003124","Anti Corona Virus",2020,"85","Drama","nm3987941","nm3987941, nm3257927",4.9,73
"tt12004038","Watcher",2022,"91","Drama,Horror,Thriller","nm3013234","nm2178592, nm3013234",6.3,12658
"tt12008944","The Thousand Faces of Dunjia",2020,"84","Action","nm10452900, nm10452899","nm0007139, nm5597395, nm7458784, nm9009497",5.7,233
"tt12009240","Bare",2020,"91","Documentary","nm6303708","nm6303708",5.9,68
"tt12011442","Burn the Witch",2020,"63","Action,Animation,Fantasy","nm8002994","nm1818197, nm11206986",6.7,914
"tt12012266","Finding Randy",2020,"85","Horror,Mystery,Thriller","nm11439973","nm11439973, nm11439975",4.6,108
"tt12013758","Caught by a Wave",2021,"99","Drama,Romance,Sport","nm2281806","nm7115300, nm2281806",5.8,1308
"tt12015102","VR (Vikrant Rona)",2022,"148","Adventure,Drama,Mystery","nm4093647","nm4093647, nm1892316",8.1,18196
"tt12015352","Crazy Samurai Musashi",2020,"91","Action","nm1647538","nm7846447",4.7,693
"tt12016374","In Passing",2020,"117","Drama,Romance","nm9094906","nm9094906",6.3,51
"tt12017738","Three Minutes: A Lengthening",2021,"69","Documentary","nm3167720","nm3167720",7.2,64
"tt12019660","My Brothers & Friends!",2020,"90","Drama","nm11442870","nm11442870",8.7,131
"tt12020456","Dataland",2019,"60","Documentary","nm0683123","nm11443230",6.4,69
"tt12021096","Kabaad- The Coin",2021,"132","Drama","nm5676754","nm3552176, nm5676754",6.4,85
"tt12023002","7th & Union",2021,"93","Drama,Sport","nm2493004","nm1939194, nm1405206",6,70
"tt12025688","Asphalt Goddess",2020,"126","Drama","nm1001040","nm6506330, nm1973928",5,180
"tt12027020","LA Originals",2020,"92","Documentary","nm1474553","nm1711645, nm0704378",7.2,1831
"tt12028944","Doctor Lisa",2020,"120","Biography,Drama","nm5732304","nm11441745",7.2,604
"tt12029164","Death by 1000 Cuts",2020,"104","Horror","nm6319094","nm6319094",3.7,72
"tt12031966","Acting Out of Love",2020,"99","Comedy,Drama,Romance","nm1246455","nm1246455",6.2,138
"tt12032938","Muddy",2021,"137","Action,Thriller","nm11448877","nm11448877",7.1,3929
"tt12034384","Manifest Evil",2022,"93","Horror","nm1672561","nm10647456",3.2,109
"tt12035596","The Process",2020,"104","Drama,Music","nm8662474","nm8662474",6.1,66
"tt12036052","Elephant",2020,"86","Adventure,Biography,Documentary","nm0288144, nm1761192, nm1768412","nm1768412, nm1470516",7.2,2224
"tt12036270","Row 19",2021,"77","Horror,Thriller","nm6969536, nm5192303","nm8371169",4.5,646
"tt12036922","Super Turnt",2022,"104","Drama","nm6286319","nm6286319",5,71
"tt12038670","Dragon Soldiers",2020,"89","Action,Fantasy","nm1802040","nm3708056, nm1802040, nm2290733",3.1,288
"tt12041958","Pride and Prejudice: A New Musical",2020,"128","Musical","nm11452769","nm0000807, nm10027426",7.2,117
"tt12042866","A House Divided",2020,"91","Comedy,Drama","nm2020615, nm0098079","nm0098079",8.3,190
"tt12043620","Missing",2019,"85","Drama,Thriller","nm11454223","nm11454223, nm8312295",4.4,54
"tt12044612","The Truth About La Dolce Vita",2020,"85","Documentary","nm0669968","nm0669968, nm0784805",6.5,80
"tt12048234","Save the Cinema",2022,"109","Drama","nm0837406","nm0039328, nm2455394",6.5,1066
"tt12048238","The Modern Way",2022,"88","Drama","nm7819331","nm10832320, nm7819331",6.7,68
"tt12056978","Gerda",2021,"111","Drama","nm3437705","nm7891493",5.7,295
"tt12057168","Dark Spell",2021,"92","Drama,Fantasy,Horror","nm5276483","nm9724101, nm2477199, nm5276483",4.6,911
"tt12057234","The Widow",2020,"86","Horror,Mystery,Thriller","nm11460470","nm9724101, nm6374978, nm2477199, nm11460470",4.2,887
"tt12057580","Amityville Island",2020,"70","Action,Adventure,Horror","nm0689789, nm0824634","nm1141136",1.8,298
"tt12058242","Streltsov",2020,"100","Biography,Drama,Romance","nm4104369","nm8575368",5.2,383
"tt12058582","Demigod",2021,"95","Horror","nm3969329","nm3969329, nm4782995",3.7,1790
"tt12058584","The Royal Game",2021,"110","Drama,Thriller,War","nm0836715","nm1963442, nm0959003",6.8,2007
"tt12058882","Coachella: 20 Years in the Desert",2020,"104","Documentary,Music","nm7314983, nm0858762, nm1218774","nm1218774, nm2066017",7.2,221
"tt12059016","Red Snow",2021,"80","Comedy,Horror,Thriller","nm4100716","nm4100716",4.9,1334
"tt12060154","Medusa",2020,"87","Drama,Horror","nm10271438","nm10271438, nm8448178",2.9,491
"tt12060172","The Mutation",2021,"87","Horror,Sci-Fi,Thriller","nm8448178","nm8448178",2.9,580
"tt12060182","Conjuring the Genie",2021,"90","Drama,Horror","nm8448178","nm8448178",4.3,603
"tt12062432","Galwakdi",2022,"130","Comedy,Drama,Romance","nm6014257","nm11463015, nm10686044",6.6,1026
"tt12064810","Assault on VA-33",2021,"90","Action,Thriller","nm0712782","nm4616019",4.2,701
"tt12064936","Tenets of the Maladjusted",2020,"90","Comedy,Drama","nm2777365","nm2777816, nm2777365",9.1,165
"tt12065192","The Santa Box",2020,"90","Family","nm1073837","nm1073837",5.8,146
"tt1206885","Rambo: Last Blood",2019,"89","Action,Crime,Thriller","nm0344496","nm1006730, nm0000230, nm0330108, nm0606251",6.1,97215
"tt12071472","Battle Scars",2020,"84","Crime,Drama,War","nm3816678","nm3816678, nm7586797, nm3349537",4.1,1096
"tt12071532","Dirty Hari",2020,"107","Drama,Romance,Thriller","nm1196104","nm4912610",5.8,235
"tt12071618","Ee Kathalo Paathralu Kalpitam",2021,"119","Drama,Thriller","nm11467336","nm11467336, nm9959549",6.6,1032
"tt1207641","Broken",2021,"77","Crime,Drama,Thriller","nm1444906","nm0118564, nm1131566, nm1444906",5,64
"tt12077032","The Whaler Boy",2020,"93","Drama","nm5563790","nm5563790",6.5,1283
"tt12077086","Tsoi",2020,"97","Drama","nm0879783","nm3066255, nm6889696, nm0879783",4.8,264
"tt12077850","Quota",2020,"101","Family","nm9055203","nm9055203",8.6,317
"tt12077970","A Tale of Love and Desire",2021,"102","Drama,Romance","nm3960987","nm3960987",6.8,478
"tt12078024","French Tech",2020,"92","Comedy","nm0687913","nm0687913, nm0687914",6.6,653
"tt12079822","Counting Bullets",2021,"72","Action,Western","nm3524360","nm8024299, nm3524360",4,158
"tt12080904","Penguins: Life on the Edge",2020,"78","Documentary,Family","nm2613148, nm0288144","nm1470516, nm3439608",6.8,174
"tt12084320","Main Mulayam Singh Yadav",2021,"120","Biography","nm9767985","nm8779799",3.9,162
"tt12091980","Thinkalazhcha Nishchayam",2021,"109","Comedy,Drama,Romance","nm7233287","nm7233287, nm8319305",7.8,2003
"tt12092584","Bliss",2021,"91","Drama,Romance","nm6876241","nm6876241",5.5,256
"tt12092722","A New Husband for Christmas",2020,"103","Comedy","nm10219089","nm9914605",5.6,83
"tt12092784","Easter Holocaust",2020,"136","Horror","nm8860051","nm8860051",2.6,66
"tt12093604","Companion",2021,"100","Horror","nm0200956","nm0200956",5.3,795
"tt12093878","LEGO DC: Shazam - Magic & Monsters",2020,"81","Action,Adventure,Animation","nm1602528","nm4287835, nm1304148",6.2,1028
"tt12093990","Benjamin",2019,"83","Adventure,Animation,Comedy","nm11476930","nm11476930",6.5,108
"tt12094002","The Last Stroke",2019,"99","Action,Comedy,Drama","nm0265797","nm0265797",3.9,72
"tt12094024","Wife's Club",2019,"93","Comedy,Romance","nm0754621","nm5605349, nm0754621",3.4,105
