"tconst","primaryTitle","startYear","runtimeMinutes","genres","directors","writers"
"tt10213380","Manor House",2020,"201","Drama,History","nm1090998","nm12772188, nm1090998"
"tt10213480","Moananuiakea: One Ocean, One People, One Canoe",2018,"148","Documentary","nm4122963","nm7854370"
"tt10214162","Anxiety and Depression: Proof of Happiness",2019,"107","Drama","nm1169248","nm1169248"
"tt10214198","Push and Shove",2019,"91","Drama","nm10633710","nm10633710"
"tt10214316","Some Southern Waters",2020,"78","Mystery,Thriller","nm7517648","nm7517648"
"tt10214496","The Donut King",2020,"90","Documentary","nm1240047","nm1240047, nm2587380"
"tt10214584","Women in Blue",2021,"88","Documentary","nm0279338","nm0279338"
"tt10214754","Luca",2020,"104","Crime,Drama,Thriller","nm0538855","nm2939957"
"tt10214826","Agent Sai Srinivasa Athreya",2019,"148","Comedy,Crime,Mystery","nm10633987","nm10633987, nm5189611, nm10890193, nm12836495, nm13222819"
"tt10214842","Billion",2019,"101","Comedy,Crime,Thriller","nm1213790","nm2454599"
"tt10215134","Nothing But the Sun",2020,"75","Documentary","nm3530746","nm3530746"
"tt10216812","Bloody Nun 2: The Curse",2021,"70","Horror","nm4005028","nm4005028"
"tt10217148","Love in Suspenders",2019,"93","Comedy,Romance","nm0919899","nm1389161"
"tt10217328","Jiva Shiva",2019,"123","Action","nm1857973","nm10634685"
"tt10217550","Vinci Da",2019,"117","Crime,Mystery,Thriller","nm3797575","nm3491132, nm2754475, nm3797575"
"tt10217576","The Octettes",2016,"55","Documentary","nm0152248","nm0152248, nm0957216"
"tt10217620","Aavartan",2021,"116","Musical","nm4703308","nm4711068, nm9099171, nm4703308"
"tt10217624","The Sun Above Me Never Sets",2019,"108","Comedy,Drama","nm7211303","nm7211303, nm7105632"
"tt10217780","Kandasamys: The Wedding",2019,"94","Comedy","nm8360126","nm8360128, nm8360126"
"tt10218112","Courageous Warriors Beauty from the Ashes",2021,"91","Documentary","nm2031440","nm2031440"
"tt10218440","Made In Maharashtra",2016,"128","Action","nm5692774","nm9783280, nm10635434, nm10635435"
"tt10218664","The Captain",2019,"111","Action,Adventure,Drama","nm0490487","nm10900423"
"tt10218674","The Bravest",2019,"118","Action,Drama,Family","nm0151135","nm0910852, nm10900423"
"tt10218838","Edakkad Battalion 06",2019,"111","Action,Drama,Romance","nm9648063","nm1548005"
"tt10218878","The Dinner",2020,"78","Drama","nm0523879, nm0361833","nm0361833, nm0523879, nm11173854"
"tt10218912","As I Am",2020,"62","Drama,Fantasy,Romance","nm4869777","nm4869777"
"tt10219146","Dwelling in the Fuchun Mountains",2019,"150","Drama,Romance","nm10635936","nm10635936"
"tt10219406","Land of Ashes",2019,"82","Drama","nm4942492","nm4942492"
"tt10219674","The Last Wish",2019,"107","Drama","nm6339809","nm11001892, nm9537689, nm4647793, nm6339809"
"tt10220406","Royal Jelly",2021,"93","Horror,Thriller","nm0727168","nm0727168"
"tt10221732","Madison Baker Was Here",2021,"79","Comedy,Drama","nm3313162","nm3313162, nm7563102"
"tt10222752","Sick, Sick, Sick",2019,"104","Drama,Mystery,Romance","nm1189368","nm1189368, nm2354448"
"tt10223114","Karate Do",2019,"98","Action,Drama","nm4318378","nm6091914, nm6091917"
"tt10223460","Marry Me",2022,"112","Comedy,Music,Romance","nm0192478","nm0736966, nm1127337, nm3072210, nm2972397"
"tt10223546","You Deserve a Lover",2019,"102","Comedy,Drama,Romance","nm2082567","nm2082567"
"tt10223850","Knockout Girls",2021,"65","Action,Drama","nm10639881","nm4039514, nm10639881"
"tt10223876","Paranormal Attraction",2020,"89","Horror","nm6363756","nm5259035, nm6363756"
